[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Wallabag-_2.5.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
04dfa454ae20f22f    1 of   1   androidx/lifecycle/SavedStateHandleSupport$SAVED_STATE_REGISTRY_OWNER_KEY$1
609c56a36d16be3c    1 of   3   androidx/appcompat/app/WindowDecorActionBar$2
4f569f11d1a7c901   39 of  83   com/google/android/material/internal/ForegroundLinearLayout
b37551c8573cb66b   15 of  30   androidx/fragment/app/FragmentActivity$HostCallbacks
2756a95f6e955c5e    1 of  12   androidx/appcompat/app/WindowDecorActionBar$1
919e7ae5831b3eec    1 of  24   androidx/recyclerview/widget/ViewBoundsCheck$BoundFlags
5a7a2bacf4cf665d    1 of  10   androidx/fragment/app/FragmentManager$9
d5a6742f929016c2    1 of   2   androidx/appcompat/R$styleable
788ae8a92e5a8a00    1 of   8   androidx/swiperefreshlayout/widget/SwipeRefreshLayout$6
3c5335e3900d846c   18 of 151   androidx/fragment/app/FragmentManagerViewModel
af8752f5edf31b96    1 of   4   com/google/android/material/internal/ContextUtils
c0313f30ef1da595    1 of   5   androidx/appcompat/widget/SearchView$3
4dabd8d9ebe2cb8d   64 of 125   androidx/fragment/app/FragmentActivity
74d29be8c73a549b    1 of   7   androidx/viewpager/widget/ViewPager$SavedState$1
8dbaf475c64d69a5    3 of  42   androidx/recyclerview/widget/RecyclerView$ItemAnimator
9c731f027476cce9   95 of 425   com/google/android/material/shape/MaterialShapeDrawable
28233a4a54c43f7d    4 of 1097   kotlin/collections/ArraysKt___ArraysJvmKt
3851b0081f77d125   39 of 147   fr/gaulupeau/apps/Poche/ui/preferences/ConnectionWizardActivity
457b1c8cd5c0e707   23 of 261   androidx/recyclerview/widget/AdapterHelper
16158f3ec71e743a    1 of   2   androidx/recyclerview/widget/RecyclerView$3
652d7e278520d057   18 of  96   androidx/appcompat/app/ActionBarDrawerToggle
998f1f00cc0c83d9    2 of  19   com/facebook/stetho/Stetho$Initializer$RealSocketHandlerFactory
0822bc291a6a932a    2 of   3   androidx/profileinstaller/ProfileInstallerInitializer$Choreographer16Impl
af2f436038d6f952    1 of   3   androidx/recyclerview/widget/RecyclerView$OnScrollListener
cef720a3d8e886ee    2 of   4   androidx/lifecycle/MutableLiveData
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
be154e847c4c7f8d   72 of 426   androidx/swiperefreshlayout/widget/SwipeRefreshLayout
94f1a47ad09dacbe   37 of 126   com/google/android/material/tabs/TabLayout$SlidingTabIndicator
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
61d57e877ebb1493    8 of  23   com/google/android/material/appbar/ViewOffsetHelper
d64b04e8e1acce34   24 of 104   fr/gaulupeau/apps/Poche/ui/ArticleListFragment
18b8cb2bcf95cbce    1 of   2   fr/gaulupeau/apps/Poche/ui/RecyclerViewListFragment$1
088c08cebfe0c84d    1 of   1   com/google/android/material/internal/NavigationMenuPresenter$ViewHolder
b2fe7fe60d402b95    1 of   2   androidx/fragment/app/FragmentManager$5
bb28778dd778f967    6 of  13   androidx/recyclerview/widget/OrientationHelper
81ff11955f967f06    1 of   4   com/google/android/material/internal/NavigationMenu
d4b7179b82f29ea9    3 of   3   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuSeparatorItem
c70020e39b0fde92   19 of  39   androidx/core/view/WindowInsetsCompat$BuilderImpl20
a965733fc907fb33    3 of   4   fr/gaulupeau/apps/Poche/App$SettingsHolder
541e2155ca11b57c    2 of   6   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuViewAccessibilityDelegate
79195bf2c8f12c89   13 of  14   androidx/emoji2/text/EmojiCompatInitializer
