[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Lexica-_v3.13.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
0a17f120c4fb6256    1 of   5   androidx/activity/result/ActivityResultRegistry$3
b4d6098fe505d1ff    1 of   3   kotlin/jvm/internal/Lambda
9355de0f4fd5bd2b   37 of  57   androidx/constraintlayout/solver/PriorityGoalRow
9f19c5d8d2f34b97    2 of   3   com/serwylo/lexica/lang/EnglishGB
634377937105e073    3 of   8   androidx/activity/ComponentActivity$4
65ef58ed9b958931  223 of 623   androidx/constraintlayout/solver/widgets/analyzer/Direct
d3bb13cd202ff1fe   35 of  45   com/serwylo/lexica/lang/Spanish
97519a8c223ada40    1 of  65   com/google/android/material/internal/ViewUtils
7aa9ed7852201a59   24 of  93   androidx/appcompat/widget/ContentFrameLayout
5a3d1935741694b4   73 of 213   androidx/appcompat/widget/ResourceManagerInternal
8b0d9a1c96e8c855    6 of  35   androidx/room/InvalidationTracker$ObservedTableTracker
07fcff4048c2c3d1    3 of   3   com/serwylo/lexica/view/ThemeProperties$BoardProperties
884c76dd7f09bc28    7 of  15   androidx/lifecycle/ReportFragment$LifecycleCallbacks
92c7e8371a779536    1 of   2   com/serwylo/lexica/R$styleable
3ffc32eea32f398f   15 of  20   androidx/arch/core/internal/SafeIterableMap$IteratorWithAdditions
74aa44e48e007bfb   29 of  61   com/serwylo/lexica/db/Database_Impl
82bef50f6849f840    5 of  36   androidx/sqlite/db/SimpleSQLiteQuery
255f7f6ccba69229    2 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
cd61c7cf760d451f   25 of  32   com/serwylo/lexica/lang/Finnish
9272d73b6d735387   25 of 219   androidx/collection/ArraySet
0af81dc0802fc6aa    1 of   5   androidx/appcompat/app/AppCompatDelegateImpl$Api17Impl
cc89e4f7e8b5e976    2 of 1151   kotlin/collections/ArraysKt___ArraysJvmKt
5de6abc9ff146485    2 of   6   com/google/android/material/theme/MaterialComponentsViewInflater
49cce23b8928f561    3 of  22   kotlin/Pair
20b836b86eaecb11    1 of   2   androidx/activity/result/ActivityResultLauncher
2f042d149a800d50    6 of  50   androidx/appcompat/content/res/AppCompatResources
5f3cd93f4c292be9    1 of   1   androidx/activity/result/ActivityResultRegistry$CallbackAndContract
e1531ad7a4f8f8bb    6 of  20   androidx/lifecycle/ViewModelProvider
