[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Wikipedia-_beta2.7.50447beta2023062-rebuilt_/coverage.ec.
a09b3ca0f9a044b1    1 of   2   io/reactivex/rxjava3/internal/functions/Functions$NullProvider
0b21360d179f5b99    2 of  13   org/wikipedia/dataclient/okhttp/OfflineCacheInterceptor$Companion
3c06e733ce255c22    5 of   5   com/google/android/datatransport/runtime/scheduling/DefaultScheduler_Factory
04b79e1ed014cb8e   17 of 131   kotlinx/serialization/internal/PlatformKt
48a811385e4f76eb    1 of   4   shark/AndroidReferenceMatchers$Companion$libraryLeak$1
5348637875b37cb7   42 of  42   org/wikipedia/appshortcuts/AppShortcuts$Companion
4397feb13cb740a4    1 of  16   org/wikipedia/dataclient/okhttp/CacheControlInterceptor
13a6843f4330d591   14 of  54   leakcanary/AndroidLeakFixes$Companion
49ac494740a8117a    3 of 103   androidx/room/util/DBUtil
46224ec69e1c4fc2    8 of 146   okhttp3/logging/HttpLoggingInterceptor
1e083f2c2808e017    8 of 168   androidx/work/impl/Processor
0e07017df5124b53    3 of   3   com/android/installreferrer/api/InstallReferrerClient
d41414bcd77b36ef    3 of   3   androidx/room/SharedSQLiteStatement$stmt$2
f5ae1977b84a4daf   12 of 112   org/wikipedia/analytics/InstallReferrerListener
cf112f48f0f8099c    2 of   7   shark/AndroidReferenceMatchers$IREQUEST_FINISH_CALLBACK$add$1
5aa6fff76c1a000b    2 of   3   com/google/mlkit/common/internal/zze
ee4ff5a6b92c3b87   18 of 1261   io/reactivex/rxjava3/core/Observable
43da1b648e6dff91    2 of  12   retrofit2/CompletableFutureCallAdapterFactory
803c7d6bc1848d91    1 of   2   io/reactivex/rxjava3/schedulers/Schedulers$SingleHolder
6353dc13eb6ccd69  115 of 390   okhttp3/HttpUrl$Builder
dde05cb447483f5a    2 of   2   okhttp3/Dns
