[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Calculator-You-_v3.1.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
83aee87148d801fd    4 of  11   androidx/collection/MapCollections$ArrayIterator
4ddf26fe28580987   11 of  49   androidx/recyclerview/widget/SnapHelper
42970f06bf5d6032   13 of  15   com/forz/calculator/converter/data/ForceConverter
6c1b307874434320    2 of   3   androidx/lifecycle/SavedStateHandlesVM
fb928cd8715b4d12   10 of  20   org/javia/arity/DoubleStack
45b34423059adf0f    2 of  28   androidx/recyclerview/widget/BatchingListUpdateCallback
aafee021ba514b87    4 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
6cb1814a88bf264e   24 of  93   androidx/appcompat/widget/ContentFrameLayout
d112f18722094191   29 of  95   androidx/recyclerview/widget/RecyclerView$RecycledViewPool
a94eb161ad8d6eb1    2 of   6   kotlin/jvm/internal/FunctionReferenceImpl
07c506f5ac29b601   19 of  44   androidx/lifecycle/ProcessLifecycleOwner
c00fb0c3b08a135c    2 of   6   androidx/lifecycle/DefaultLifecycleObserver
200fdf6152b906ca    1 of   5   androidx/recyclerview/widget/AdapterListUpdateCallback
e4297ca781b1e21c    9 of 266   androidx/collection/SimpleArrayMap
84db9b70706314ed    1 of   9   androidx/appcompat/app/AppCompatDelegateImpl$3
8026361bbc6c3177   11 of  44   androidx/appcompat/widget/ViewStubCompat
94bf84999110921c    2 of  11   com/google/android/material/resources/TypefaceUtils
457b1c8cd5c0e707   22 of 261   androidx/recyclerview/widget/AdapterHelper
8f83bb62c41eabcb    5 of  50   kotlin/collections/EmptyList
523c6cb141b68c0e  108 of 127   com/google/android/material/shape/ShapeAppearancePathProvider
33066e5e3e0e486b    9 of  16   androidx/lifecycle/DefaultLifecycleObserverAdapter$WhenMappings
b63feef1afa64455   11 of  35   com/google/android/material/tabs/TabLayoutMediator$TabLayoutOnPageChangeCallback
ab23114aa5e98cbf    5 of  56   androidx/appcompat/widget/VectorEnabledTintResources
6029d2883a7a03e4    4 of   5   com/google/android/material/tabs/TabLayout$TabView$1
75a478325a96c440    1 of   3   androidx/arch/core/internal/SafeIterableMap$AscendingIterator
cacf427a17b6fc4f   36 of 227   org/javia/arity/CompiledFunction
5a97827efe7e55d9    2 of  34   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory
6cc5b23ef29eff2b    2 of   2   androidx/viewpager2/adapter/FragmentStateAdapter$FragmentMaxLifecycleEnforcer$3
63724b760f68943d   58 of  86   androidx/startup/AppInitializer
01c3dbadbbe94ad6   10 of  21   androidx/arch/core/executor/ArchTaskExecutor
eec69a5aa6e3612e    1 of   3   androidx/appcompat/app/AppCompatActivity$1
0fcafdcdb1b598e5    6 of   6   androidx/appcompat/app/AppCompatActivity$2
5f7021cf5cec890a   36 of  62   androidx/appcompat/widget/TintTypedArray
bbe7cbf725c4ae8e   23 of  73   androidx/fragment/app/SpecialEffectsController$Operation
3ab0e7b79a0e8c55    4 of   8   androidx/lifecycle/EmptyActivityLifecycleCallbacks
7a5de59d286f1cf3    3 of   7   kotlin/properties/Delegates
3cf18de831182b5d   57 of 216   androidx/appcompat/widget/ResourceManagerInternal
d76ec4f750544091    8 of  16   org/javia/arity/Token
