[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Currencies-_1.23.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
9f090a337592bacc    1 of   6   androidx/coordinatorlayout/widget/CoordinatorLayout$ViewElevationComparator
ed64b53d54915ead    4 of  50   kotlin/collections/EmptyList
3578f9a835decb66   18 of  25   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
5fde4b8403509d66   32 of  83   androidx/profileinstaller/ProfileVerifier
7b204e4edf530052    2 of   9   com/google/android/material/shape/ShapePath$LineShadowOperation
84bde0f7628f84b5   31 of 112   androidx/fragment/app/FragmentActivity
3e33a17aafdcbae5    8 of 335   kotlin/text/StringsKt__StringsJVMKt
73caae0d101e67a9   10 of  14   de/salomax/currencies/view/main/MainActivity$prepareFoldableLayoutChanges$1$1
44531950b367e411    1 of  14   androidx/core/view/ViewCompat$Api21Impl$1
04657bef4c2b71dd    2 of   8   kotlin/coroutines/jvm/internal/SuspendLambda
abbcba1f44fcbf22    1 of   9   kotlin/reflect/jvm/internal/KClassImpl$Data$constructors$2
e11f8ea93a17efdf    1 of   3   androidx/appcompat/app/WindowDecorActionBar$3
4cabf1ef92aff56b    9 of  16   androidx/core/view/WindowInsetsCompat$Impl28
6d701b00b7c8ab3e    1 of   5   androidx/collection/internal/Lock
e68731483b0fae46    6 of   8   kotlin/LazyThreadSafetyMode
57ef8fb675447796    1 of   5   androidx/arch/core/executor/TaskExecutor
8ad108b8ba942273   16 of  36   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory
2a112bd171e772b4   19 of  28   androidx/lifecycle/ViewModelProvider
c3e58f84a5345bc6    1 of   5   androidx/swiperefreshlayout/widget/CircularProgressDrawable$1
f40e43d96676ab34    2 of   3   androidx/lifecycle/SavedStateHandlesVM
522fbedb729ebcf3    1 of   3   kotlin/reflect/jvm/internal/KCallableImpl$_annotations$1
73a7fb15dd8217aa   10 of  13   kotlinx/coroutines/CoroutineDispatcher
