[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Breezy-Weather-_v5.2.8-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
6cb1814a88bf264e   24 of  93   androidx/appcompat/widget/ContentFrameLayout
5739e13c5096ba21   29 of  57   androidx/compose/runtime/snapshots/SnapshotDoubleIndexHeap
80fb0c7cf7c52ee1  280 of 1783   androidx/compose/material3/AppBarKt
25820e27fa1cb99a    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
8110d1e5cca20e55    3 of 115   androidx/compose/ui/semantics/SemanticsNodeKt
df1dec9e09373acd    2 of 101   breezyweather/data/HourlysQueries
47b5a888979d3682  161 of 270   androidx/compose/ui/node/NodeKindKt
16da7de9657c4961    6 of  13   kotlinx/coroutines/scheduling/DefaultIoScheduler
7d134b27da5256db    2 of   2   androidx/lifecycle/viewmodel/internal/ViewModelProviders$ViewModelKey
4a4b4b0998bcc682   10 of  18   kotlinx/coroutines/flow/AbstractFlow
d80ea139acfb7159   22 of 112   androidx/fragment/app/FragmentTransaction
718bbb3c49b2e1e6    2 of   2   androidx/lifecycle/LifecycleOwnerKt
84bde0f7628f84b5   34 of 112   androidx/fragment/app/FragmentActivity
0f910ab7fbb5aec3    3 of   3   androidx/compose/runtime/external/kotlinx/collections/immutable/implementations/immutableMap/TrieNode$Companion
9f9dce9218f7f9f3    2 of   5   androidx/lifecycle/compose/LocalLifecycleOwnerKt$LocalLifecycleOwner$1$1
2a6572d30bbfcb2b    2 of   3   kotlin/jvm/internal/Lambda
7b93da087b44a319    6 of  15   androidx/compose/ui/input/pointer/PointerKeyboardModifiers
513f0b9b0e86d024    2 of  14   androidx/compose/ui/text/SaversKt$TextUnitSaver$2
8cb97c82fde12a87   51 of  52   androidx/compose/material3/tokens/ColorSchemeKeyTokens
82548dc1750840fe   34 of 161   androidx/activity/result/ActivityResultRegistry
