[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/SkyTube-_v2.999-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
6c3ca7735cb91349    6 of   7   com/google/android/gms/cast/framework/SessionProvider
6fb6678e43e12bf6    2 of  15   org/schabi/newpipe/extractor/services/peertube/PeertubeInstance
ab7ffd31273aebee    3 of   7   androidx/core/view/GestureDetectorCompat
207c78ad4ac722cb    1 of   5   okhttp3/internal/http2/PushObserver$1
f64807acf7d1119d    9 of  19   com/google/android/gms/internal/cast/zzis
273f2b6f63c801a0    1 of  11   io/reactivex/rxjava3/core/Scheduler$Worker
fe06cf6335d24e75    1 of   1   androidx/fragment/app/FragmentLifecycleCallbacksDispatcher$FragmentLifecycleCallbacksHolder
98b47684719ce3a4    4 of  20   leakcanary/RemoteWorkManagerHeapAnalyzer
ffcb5cd392e1f7f8   50 of 113   androidx/coordinatorlayout/widget/CoordinatorLayout$LayoutParams
e31932789d4961d0    2 of   2   com/google/android/gms/common/api/Api$ApiOptions$NoOptions
d3c8011f7e370f3e    4 of 125   androidx/recyclerview/widget/RecyclerView$ViewFlinger
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
19b095d490cd11b8    3 of   7   androidx/mediarouter/media/MediaRouteProvider$ProviderMetadata
4cef3d0537228ddd    5 of  94   androidx/recyclerview/widget/OpReorderer
b3306745c5f77dc2    6 of  16   com/google/android/gms/common/internal/BaseGmsClient$zzd
a0d1b3562b6ad1da    3 of  48   com/google/gson/internal/bind/ObjectTypeAdapter
860d1968a08f6b4f    2 of  44   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
c2205db275a1bcd6   47 of 113   leakcanary/ObjectWatcher
8cd4fdb6634922cf    1 of   8   com/bumptech/glide/load/resource/transcode/DrawableBytesTranscoder
37659cde452f4151    5 of   6   leakcanary/RootViewWatcher
13a6843f4330d591   36 of  54   leakcanary/AndroidLeakFixes$Companion
a8f5e83cfcbfee0d    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
d5113296fadab5c9    4 of   4   leakcanary/ServiceWatcher$install$3
7815a12b13f9a68d    5 of   7   com/bumptech/glide/load/data/InputStreamRewinder
2c56f76fa43c6006   12 of  32   okhttp3/internal/connection/ConnectionSpecSelector
65c44c7c06bb770c    9 of  24   org/schabi/newpipe/extractor/downloader/Request$Builder
42296013de317a73    5 of   5   com/google/android/datatransport/runtime/ExecutionModule_ExecutorFactory
342f18133aafaa4b    2 of   2   androidx/coordinatorlayout/widget/CoordinatorLayout$OnPreDrawListener
fe2e14c425545d6b    8 of   9   leakcanary/AndroidLeakFixes
9fbed298b6c810d0    2 of  39   shark/AndroidObjectInspectors$CONTEXT_WRAPPER
5a9bd503899696c8    5 of   5   com/bumptech/glide/load/model/ModelLoader$LoadData
07c506f5ac29b601   29 of  44   androidx/lifecycle/ProcessLifecycleOwner
9ca1b388b32baa6e    1 of   5   androidx/recyclerview/widget/RecyclerView$2
b45bf8120087598a    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/fi
c3df4fc7af2b947e    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/pl
7b6d106f005d3145   11 of  19   com/google/android/datatransport/runtime/scheduling/DefaultScheduler
25cad9931e7defb6   34 of  95   androidx/appcompat/widget/AppCompatAutoCompleteTextView
5ca99fe0aae7fdeb    1 of  19   com/google/android/gms/common/api/zzb
822b6a9c1d2d9843    3 of   3   shark/AndroidReferenceMatchers$TOAST_TN
fd0eb5067ed07033    1 of   3   shark/AndroidObjectInspectors$ANIMATOR
a39e78aff562ce29    1 of   1   com/google/android/gms/internal/cast/zzhb
d819a9fcccd5a8da    5 of   6   com/google/android/datatransport/Priority
7bc783b68e78356f    2 of   2   shark/ReferencePattern$NativeGlobalVariablePattern$Companion
6521032a956d8309    2 of   3   com/google/android/gms/common/util/zza
099d34484bfa5ea6    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/sr_Latn
9472d3d5a4e5a4fb    1 of   2   com/google/android/datatransport/runtime/TransportRuntimeComponent
be493e766e585800    5 of  11   com/google/android/gms/tasks/TaskCompletionSource
cee752fcb2dbcd4a    9 of  16   free/rm/skytube/gui/fragments/FragmentNames
1c050d891475c8ba    5 of   5   com/google/android/datatransport/runtime/scheduling/persistence/EventStoreModule_DbNameFactory
4f9ddd5d09560137    7 of   7   androidx/lifecycle/viewmodel/InitializerViewModelFactoryBuilder
c4a6e85b8f5d96c5    3 of   3   shark/AndroidReferenceMatchers$WINDOW_ON_BACK_INVOKED_DISPATCHER__STUB
752ba8d004abd8e3    1 of   4   androidx/appcompat/widget/SearchView$10
51545085c183a60f   54 of  65   okhttp3/internal/http2/Http2Codec
78bf71191f4f65b8   17 of  18   com/google/android/datatransport/runtime/DaggerTransportRuntimeComponent
20d67768173fa56e    4 of   7   free/rm/skytube/JacocoInstrument/SMSInstrumentedReceiver
59d3e9f9a4c5789b    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/zh_HK
ed805666cbdeeede   12 of  47   io/reactivex/rxjava3/internal/functions/Functions
a8977f42cbb475ba   53 of  94   androidx/swiperefreshlayout/widget/CircularProgressDrawable$Ring
843693fc02557de0    6 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
f6c2a9206a287426    6 of  19   okio/-Util
d235ed2be5a1056b    1 of   7   free/rm/skytube/gui/businessobjects/SimpleItemTouchHelperCallback
f256ae16290e50a9   37 of 153   androidx/appcompat/app/ToolbarActionBar
65ee07258c29e1fb    4 of   9   com/bumptech/glide/GlideExperiments$Builder
fdcb0b8416e3452b    8 of  14   com/bumptech/glide/load/engine/DataCacheKey
45ed59869528835a    2 of   2   leakcanary/internal/activity/db/DbKt
5bcd4d5fc05cef1f    5 of   5   leakcanary/internal/InternalLeakCanary$invoke$1
a94eb161ad8d6eb1    1 of   6   kotlin/jvm/internal/FunctionReferenceImpl
1f31f50def14d25a   17 of  47   androidx/mediarouter/media/MediaRouteProviderDescriptor
96134c58504d8206    2 of   7   shark/AndroidReferenceMatchers$TEXT_LINE__SCACHED$add$1
615e592123a094de    7 of  17   com/google/android/gms/internal/cast/zzgu
