[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/FirefoxLite-2.1.20-_5085-rebuilt_/coverage.ec.
1f8bcdd8dc10a590    2 of   8   org/mozilla/rocket/content/ecommerce/di/ShoppingModule_ProvideShoppingRepositoryFactory
91d05b9324d9c14f    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideSetUserEnabledPersonalizedNewsUseCaseFactory
f11aba4f91d1235c   12 of  26   org/mozilla/focus/telemetry/TelemetryWrapper$CustomSettingsProvider
56ad365316a49d81   41 of 124   org/mozilla/focus/utils/FirebaseHelper
65490b20e838b78c    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideContentHubRepoFactory
c160a6a8208b3e9e    9 of  37   org/mozilla/rocket/partner/PartnerUtil
e194398ef631d9f5    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideGlobalDataSourceFactory
13f841d2dd605294    2 of   8   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideSearchShoppingSiteUseCaseFactory
0e94e91d059b89f3    1 of  10   org/mozilla/focus/provider/DownloadInfoDbHelper$OpenHelper
cdc3180e38e04ecc    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideDownloadIndicatorViewModelFactory
38085beff5b8bdba    2 of   8   org/mozilla/rocket/content/game/di/GameModule_ProvideAddRecentlyPlayedGameUseCaseFactory
