[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/LibreTorrent-_3.5.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
f8264bfb1e455c36    5 of   8   io/reactivex/internal/operators/single/SingleCreate
ac87114f005e9d7c    1 of   2   org/libtorrent4j/alerts/Alerts$2
8dbaf475c64d69a5   12 of  42   androidx/recyclerview/widget/RecyclerView$ItemAnimator
457b1c8cd5c0e707   45 of 261   androidx/recyclerview/widget/AdapterHelper
16158f3ec71e743a    1 of   2   androidx/recyclerview/widget/RecyclerView$3
bdf2fb34d55aab3e    4 of   8   io/reactivex/internal/operators/observable/ObservableToListSingle
0d6d57ff4a2dcddc    9 of  22   io/reactivex/Scheduler
6874e685be83554e    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
8f83bb62c41eabcb    6 of  50   kotlin/collections/EmptyList
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
acdba213c73b0d4f   13 of  98   androidx/lifecycle/LiveData
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
6a28f39cc3792e37   22 of  69   androidx/lifecycle/SavedStateViewModelFactory
b784441a257ac7d0    3 of  40   org/acra/collections/WeakStack
f8cebca27bbf3ca0    3 of  13   io/reactivex/internal/operators/observable/ObservableMap$MapObserver
2c7aad19c387a46c    3 of  29   org/libtorrent4j/swig/torrent_error_alert
41e8dd8b874dba1e    1 of   2   org/libtorrent4j/alerts/Alerts$95
2cc638838de6148a    1 of  61   org/acra/data/StringFormat$KEY_VALUE_LIST
426848fc0f001e54    3 of   3   androidx/lifecycle/SavedStateHandlesProvider$viewModel$2
566458b600954b45    2 of   3   net/cachapa/expandablelayout/util/FastOutSlowInInterpolator
f62fa551aae269dd    2 of  28   androidx/work/impl/constraints/trackers/StorageNotLowTracker
7793e7966845ba0d   46 of  46   org/libtorrent4j/SessionStats
339adf7a5bafc4d6    3 of  29   org/libtorrent4j/swig/peer_info_alert
6b5bd244724926af    1 of   2   org/libtorrent4j/alerts/Alerts$76
f91958a935b28413    1 of   5   androidx/recyclerview/selection/DefaultSelectionTracker$RangeCallbacks
53deef3299d13226    6 of   7   androidx/recyclerview/widget/DefaultItemAnimator$5
c3f8f051b04b2cd7    1 of   2   io/reactivex/internal/functions/Functions$EmptyLongConsumer
f01e4619527eccdd    2 of   9   androidx/work/impl/constraints/controllers/BatteryChargingController
13d9caf113cb9a33   16 of  23   androidx/lifecycle/ReportFragment$Companion
77eff01aa6f0ef3f   18 of  29   androidx/sqlite/util/ProcessLock
583dc1784ed23bcb    6 of  31   com/google/android/material/internal/StateListAnimator
84f1db4d146eb4a5   28 of  73   androidx/arch/core/internal/SafeIterableMap
6e120c71e42a56fb    1 of   1   io/reactivex/internal/schedulers/ComputationScheduler$PoolWorker
61437c32185a6d50    4 of   5   androidx/recyclerview/widget/AsyncListDiffer$1$2
a940726f4f5c4503    1 of   3   androidx/appcompat/widget/ActionMenuView$ActionMenuPresenterCallback
b569ed6d758233ab   10 of  42   io/reactivex/internal/subscribers/LambdaSubscriber
179524bdb1faca94    6 of   6   androidx/recyclerview/widget/DefaultItemAnimator$3
79103c6cc5a9a861    3 of  34   org/libtorrent4j/swig/add_torrent_alert
d2d3e53d28c756c7    1 of   2   androidx/recyclerview/selection/SelectionTracker$Builder$4
86c095e6493965fc    2 of   2   org/acra/file/ReportLocator$Companion
e951fb74db6f20fd    1 of   4   androidx/appcompat/widget/SearchView$10
409b7dec5b250609    2 of  31   androidx/recyclerview/widget/ViewBoundsCheck
12b0c67eb2281159    3 of  32   org/libtorrent4j/swig/fastresume_rejected_alert
07e2a132650b6470    2 of   5   androidx/appcompat/widget/TooltipCompat
