[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AlarmClock-_3.15.04-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
f0536bd6b2c44810   11 of  13   androidx/fragment/app/strictmode/FragmentStrictMode$Flag
c999be1a823364e4    1 of  43   com/better/alarm/model/AlarmCore$EnabledState$SnoozedState
f5134be1785edff9    1 of  11   org/acra/file/Directory$ROOT
b3c57836773f5d99    2 of   2   org/acra/collector/DropBoxCollector$Companion
1a613915bab19093    2 of   3   androidx/tracing/TraceApi18Impl
fa5ffc8d005a57d2    8 of  57   kotlin/coroutines/intrinsics/IntrinsicsKt__IntrinsicsJvmKt
19e761cf2bcaf2b8    1 of   2   androidx/datastore/core/SingleProcessDataStore$readAndInit$api$1$updateData$1
292d60104adcdabe    2 of  17   ch/qos/logback/core/util/StatusListenerConfigHelper
e33cf84b79ca53e2    4 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
4ddce399102e1f0b    6 of   6   com/better/alarm/logger/LoggerModuleKt$configureLogback$1
f1ca42a0120f6801    1 of   4   androidx/core/view/GravityCompat$Api17Impl
3f0808555f46597c    1 of   2   io/reactivex/internal/functions/Functions$NullCallable
069e104b8e7731ca    2 of   4   kotlinx/coroutines/flow/internal/SafeCollectorKt$emitFun$1
ef5b5c44f7e73590   12 of  44   com/better/alarm/configuration/EditedAlarm
18fafdb093578f76    3 of  38   kotlinx/serialization/internal/ListLikeDescriptor
a964048b944980cb    4 of  27   kotlinx/serialization/internal/PrimitiveArraySerializer
6bbb02d59fe7cffd    9 of  32   ch/qos/logback/core/util/COWArrayList
b4acf6e1f5d626ee   12 of  41   androidx/fragment/app/SpecialEffectsController$Operation$State
5417be74df6c3c78    1 of  21   ch/qos/logback/core/pattern/util/RegularEscapeUtil
cb3e2f67d86b554a   10 of  22   ch/qos/logback/core/pattern/SpacePadder
46e9f095c0e56fe0    9 of  18   ch/qos/logback/classic/pattern/DateConverter
4914626643980190    2 of  29   androidx/activity/ComponentActivity$ReportFullyDrawnExecutorApi16Impl
0dad74d24352d351    7 of 211   kotlin/io/FilesKt__UtilsKt
e6e91f9d0632c63b   14 of  70   io/reactivex/internal/operators/observable/ObservableRefCount
0af35bbac7be1f76    3 of   3   ch/qos/logback/classic/pattern/LevelConverter
d726296ce009b7c1    2 of  51   org/acra/util/ProcessFinisher
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
e5ceea426415e211    1 of   2   androidx/datastore/core/SingleProcessDataStore$transformAndWrite$1
0868addc41cc9df1    5 of  61   androidx/core/app/NavUtils
3c1341c682548e08    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
482b054e11f4fd1b   14 of 127   kotlin/jvm/internal/Intrinsics
9ef9e113449a82fb    4 of  19   org/koin/core/definition/KoinDefinition
2d61c090d976050a    1 of  33   kotlin/collections/AbstractCollection
ae268dc3c73b0d4f   13 of  98   androidx/lifecycle/LiveData
0748554d90eba37c    7 of  12   com/better/alarm/persistance/ProtobufSerializer
084a4d3c92ebe60f   20 of 115   androidx/core/view/WindowInsetsCompat
4ddf0e540d50df49    1 of   2   androidx/appcompat/widget/ActionBarBackgroundDrawable$Api21Impl
a06ba74db0b9c60c    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$8
b52b891780278d88    1 of   4   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper
86de8324e18a5de4    2 of   2   androidx/datastore/core/SingleProcessDataStore$Message
281211f67f9ddfef    3 of  14   ch/qos/logback/core/pattern/parser/SimpleKeywordNode
cd71e06b22a6be2a    5 of   7   com/better/alarm/presenter/AlarmsListFragment$onCreate$1
1fa492162a04262f   18 of  48   androidx/lifecycle/SavedStateHandleSupport
f6c2688ce06a07bd    1 of   2   androidx/appcompat/view/menu/MenuItemImpl$1
83f8f600ef115373   13 of  52   androidx/fragment/app/FragmentController
4a205c027477b3ce    1 of  16   androidx/fragment/app/FragmentManager$10
40c491eb6a4222f1    1 of   6   androidx/activity/ComponentActivity$1
2bf2452209448e0a    3 of   3   kotlinx/coroutines/flow/internal/NopCollector
0faaa8638519e373   11 of  45   ch/qos/logback/core/util/OptionHelper
0d5414fae3943b99    9 of  32   androidx/preference/CheckBoxPreference
a0027c1598275595   17 of  40   kotlinx/coroutines/BlockingCoroutine
f98cec40fc7fa803    9 of   9   com/better/alarm/configuration/ContainerKt$startKoin$module$1$19
df3ee3018c02698d    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$11
9289e9812220509d    5 of  11   com/better/alarm/NotificationSettings$checkNotificationChannelSettings$1
2be8882781bcb3cb    5 of  45   kotlinx/coroutines/UndispatchedCoroutine
